,Title,director,actors,Genre,id,Image_url,Average_vote,Runtime,imdb_link,combo
3065,spare parts,Sean McNamara,George Lopez Jamie Lee Curtis Carlos PenaVega,Drama,264337,https://image.tmdb.org/t/p/w500//njKwvawBuE30JBFighmFWhLqf8s.jpg,7.2,115min,https://www.imdb.com/title/tt3233418,drama sean mcnamara george lopez jamie lee curtis carlos penavega
3066,the wedding ringer,Jeremy Garelick,Kevin Hart Josh Gad Kaley Cuoco,Comedy,252838,https://image.tmdb.org/t/p/w500//nh9VKA4LEPKkoCljnDNHtSIhKbF.jpg,6.467,101min,https://www.imdb.com/title/tt0884732,comedy jeremy garelick kevin hart josh gad kaley cuoco
3067,vice,Brian A. Miller,Thomas Jane Bruce Willis Ambyr Childers,Thriller Science Fiction,307663,https://image.tmdb.org/t/p/w500//cBwZIq1QFasmsC9Wi3HvyEljfYN.jpg,4.35,96min,https://www.imdb.com/title/tt3480796,thriller science fiction action adventure brian a. miller thomas jane bruce willis ambyr childers
3068,veronika decides to die,Emily Young,Sarah Michelle Gellar Jonathan Tucker Erika Christensen,Drama Romance,25968,https://image.tmdb.org/t/p/w500//oUo9CNSKz4ELnxAh4l3BPcXcxKq.jpg,6.0,103min,https://www.imdb.com/title/tt1068678,drama romance emily young sarah michelle gellar jonathan tucker erika christensen
3069,the boy next door,Rob Cohen,Jennifer Lopez Ryan Guzman John Corbett,Thriller,241251,https://image.tmdb.org/t/p/w500//tM0hpWw3GONam6TKcMMciecHjhT.jpg,4.807,91min,https://www.imdb.com/title/tt3181822,thriller rob cohen jennifer lopez ryan guzman john corbett
3070,the humbling,Barry Levinson,Al Pacino Greta Gerwig Dianne Wiest,Drama Comedy,254023,https://image.tmdb.org/t/p/w500//8x8NUmtcuNqlIH1JDAoxUjoDX7P.jpg,5.2,112min,https://www.imdb.com/title/tt1568343,drama comedy barry levinson al pacino greta gerwig dianne wiest
3071,mortdecai,David Koepp,Johnny Depp Gwyneth Paltrow Ewan McGregor,Comedy Adventure,210860,https://image.tmdb.org/t/p/w500//y2thaiEMae1gZAMWpAdWmdo7Sor.jpg,5.505,107min,https://www.imdb.com/title/tt3045616,comedy adventure david koepp johnny depp gwyneth paltrow ewan mcgregor
3072,song one,Kate Barker-Froyland,Anne Hathaway Johnny Flynn Ben Rosenfield,Drama,244783,https://image.tmdb.org/t/p/w500//a6dSJIEMxZFvQ7XJy4sf9fR0p7f.jpg,5.8,86min,https://www.imdb.com/title/tt2182972,drama kate barker-froyland anne hathaway johnny flynn ben rosenfield
3073,strange magic,Gary Rydstrom,Alan Cumming Evan Rachel Wood Kristin Chenoweth,Music Animation Family,302429,https://image.tmdb.org/t/p/w500//vjCdrK8gGRFnyuZb1j9BzgN2RaY.jpg,7.1,99min,https://www.imdb.com/title/tt4191054,music animation family fantasy gary rydstrom alan cumming evan rachel wood kristin chenoweth
3074,we'll never have paris,Simon Helberg,Simon Helberg Melanie Lynskey Zachary Quinto,Comedy Romance,253287,https://image.tmdb.org/t/p/w500//zX0JHMQbo41xCRXSKBJCYQ8fpHq.jpg,4.8,89min,https://www.imdb.com/title/tt3079016,comedy romance simon helberg simon helberg melanie lynskey zachary quinto
3075,black or white,Mike Binder,Kevin Costner Octavia Spencer Jillian Estell,Drama,253331,https://image.tmdb.org/t/p/w500//hOxxudUwgh5KGC7LtxDCkkwn1YP.jpg,6.837,121min,https://www.imdb.com/title/tt2883434,drama mike binder kevin costner octavia spencer jillian estell
3076,the loft,Erik Van Looy,Karl Urban James Marsden Wentworth Miller,Thriller,72784,https://image.tmdb.org/t/p/w500//6UrNb7sdolnuqxBJ4I8OxTUvTmQ.jpg,6.425,108min,https://www.imdb.com/title/tt1850397,thriller erik van looy karl urban james marsden wentworth miller
3077,project almanac,Dean Israelite,Jonny Weston Sofia Black-D'Elia Sam Lerner,Science Fiction Thriller,227719,https://image.tmdb.org/t/p/w500//druhu1nf5Ad005hw9np1C2YrXHq.jpg,6.656,106min,https://www.imdb.com/title/tt2436386,science fiction thriller drama dean israelite jonny weston sofia black-d'elia sam lerner
3078,wild card,Simon West,Jason Statham Michael Angarano Milo Ventimiglia,Thriller Crime Action,265208,https://image.tmdb.org/t/p/w500//zN80Tlly8oMpKbVJv2TfRIj8dHG.jpg,5.637,92min,https://www.imdb.com/title/tt2231253,thriller crime action simon west jason statham michael angarano milo ventimiglia
3079,3 nights in the desert,Gabriel Cowan,Amber Tamblyn Wes Bentley Vincent Piazza.,Drama,275696,https://image.tmdb.org/t/p/w500//7737whrIW2043oi2hgB9L3Rzlsf.jpg,4.923,83min,https://www.imdb.com/title/tt2123884,drama gabriel cowan amber tamblyn wes bentley vincent piazza.
3080,enter the dangerous mind,Youssef Delara,Jake Hoffman Nikki Reed Thomas Dekker,Thriller,176077,https://image.tmdb.org/t/p/w500//jzoozJFGbMxpjGli5moZuBfbzKS.jpg,4.9,88min,https://www.imdb.com/title/tt2229377,thriller youssef delara jake hoffman nikki reed thomas dekker
3081,jupiter ascending,The Wachowskis,Channing Tatum Mila Kunis Sean Bean,Science Fiction Fantasy,76757,https://image.tmdb.org/t/p/w500//zzr3SVojrFHDhRgAkApKB0dpsEP.jpg,5.412,127min,https://www.imdb.com/title/tt1617661,science fiction fantasy action the wachowskis channing tatum mila kunis sean bean
3082,"love, rosie",Christian Ditter,Lily Collins Sam Claflin Christian Cooke,Comedy Romance,200727,https://image.tmdb.org/t/p/w500//rpD0t7DhzJVadnzgxSYrqljQTL2.jpg,7.836,102min,https://www.imdb.com/title/tt1638002,comedy romance christian ditter lily collins sam claflin christian cooke
3083,seventh son,Sergei Bodrov,Jeff Bridges Ben Barnes Alicia Vikander,Adventure Fantasy,68737,https://image.tmdb.org/t/p/w500//7Q8DfXSjcFSSQDOxz1Sk865wNqI.jpg,5.483,102min,https://www.imdb.com/title/tt1121096,adventure fantasy sergei bodrov jeff bridge ben barnes alicia vikander
3084,the spongebob movie: sponge out of water,Paul Tibbitt,Antonio Banderas Tom Kenny Clancy Brown,Family Adventure Comedy,228165,https://image.tmdb.org/t/p/w500//2WDmjUlSAPlA27i2OwEC7sRTFw3.jpg,6.047,93min,https://www.imdb.com/title/tt2279373,family adventure comedy fantasy animation paul tibbitt antonio banderas tom kenny clancy brown
3085,the voices,Marjane Satrapi,Ryan Reynolds Gemma Arterton Anna Kendrick,Horror Thriller,639250,https://image.tmdb.org/t/p/w500//vFV4GnGheaTRpe5FHHbxyWsOpsp.jpg,5.7,96min,https://www.imdb.com/title/tt5950596,horror thriller marjane satrapi ryan reynolds gemma arterton anna kendrick
3086,accidental love,David O. Russell,Jessica Biel Jake Gyllenhaal Catherine Keener,Romance Comedy,316002,https://image.tmdb.org/t/p/w500//znPsDmQVKW0BuBnaErIAPo49X3i.jpg,4.191,100min,https://www.imdb.com/title/tt1137470,romance comedy david o. russell jessica biel jake gyllenhaal catherine keener
3087,da sweet blood of jesus,Spike Lee,Zaraah Abrahams Stephen Tyrone Williams Rami Malek,Romance Drama Horror,278316,https://image.tmdb.org/t/p/w500//dUqIwSKX9cEkahmv1lsolT8ouE9.jpg,5.0,123min,https://www.imdb.com/title/tt3104930,romance drama horror spike lee zaraah abraham stephen tyrone williams ramus malek
3088,fifty shades of grey,Sam Taylor-Johnson,Dakota Johnson Jamie Dornan Jennifer Ehle,Drama Romance Thriller,216015,https://image.tmdb.org/t/p/w500//63kGofUkt1Mx0SIL4XI4Z5AoSgt.jpg,5.897,125min,https://www.imdb.com/title/tt2322441,drama romance thriller sam taylor-johnson dakota johnson jamie dornan jennifer ehle
3089,kingsman: the secret service,Matthew Vaughn,Colin Firth Samuel L. Jackson Mark Strong,Crime Comedy Action,207703,https://image.tmdb.org/t/p/w500//ay7xwXn1G9fzX9TUBlkGA584rGi.jpg,7.642,129min,https://www.imdb.com/title/tt2802144,crime comedy action adventure matthew vaughn colin firth samuel l. jackson mark strong
3090,the last five years,Richard LaGravenese,Anna Kendrick Jeremy Jordan Unknown,Comedy Drama Music,206296,https://image.tmdb.org/t/p/w500//dxTLKSTyGb5IXB64iNgU9AWAsXT.jpg,5.9,94min,https://www.imdb.com/title/tt2474024,comedy drama music romance richard lagravenese anna kendrick jeremy jordan unknown
3091,the duff,Ari Sandel,Mae Whitman Robbie Amell Bella Thorne,Romance Comedy,272693,https://image.tmdb.org/t/p/w500//aHzdMSKwq9ucnP2yXl5zYIfKgGl.jpg,6.802,100min,https://www.imdb.com/title/tt1666801,romance comedy ari sandel mae whitman robbie amell bella thorne
3092,hot tub time machine 2,Steve Pink,Rob Corddry Craig Robinson Clark Duke,Comedy,243938,https://image.tmdb.org/t/p/w500//lBroHetSm8RMI8zp7ThpFJsw9E1.jpg,5.198,93min,https://www.imdb.com/title/tt2637294,comedy steve pink rob corddry craig robinson clark duke
3093,"mcfarland, usa",Niki Caro,Kevin Costner Maria Bello Morgan Saylor,Drama Family,228203,https://image.tmdb.org/t/p/w500//oJ65tTWMYQiP6Ryv5KmVW86xhE7.jpg,7.4,128min,https://www.imdb.com/title/tt2097298,drama family niki caro kevin costner maria bello morgan saylor
3094,everly,Joe Lynch,Salma Hayek Unknown Unknown,Thriller Action,277355,https://image.tmdb.org/t/p/w500//2As9fPVTZ1jF6uaTweiVw1RRFDD.jpg,5.488,93min,https://www.imdb.com/title/tt1945084,thriller action joe lynch salma hayek unknown unknown
3095,focus,"Glenn Ficarra, John Requa",Will Smith Margot Robbie Unknown,Romance Comedy Crime,256591,https://image.tmdb.org/t/p/w500//lOzGWjceYTd0kd5HyX7Ch46O9kh.jpg,6.886,105min,https://www.imdb.com/title/tt2381941,"romance comedy crime drama glenn ficarra, john requa will smith margot robbie unknown"
